state_name,ID,ID Type,Voter First Name,Voter Last Name,Voter Phone,Date Called,Time Called (EST),,,,,,,,,,,,,,,,,,,,,,
wisconsin,9321329,B,firstname1,lastname1,1234567890,10/16/20,06:30 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8958993,B,firstname2,lastname2,1234567891,10/16/20,06:31 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,119964,B,firstname3,lastname3,1234567892,10/16/20,06:31 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12713977,B,firstname4,lastname4,1234567893,10/16/20,06:31 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13997387,B,firstname5,lastname5,1234567894,10/16/20,06:31 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9813986,B,firstname6,lastname6,1234567895,10/16/20,06:31 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13183218,B,firstname7,lastname7,1234567896,10/16/20,06:32 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8810840,B,firstname8,lastname8,1234567897,10/16/20,06:32 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8786368,B,firstname9,lastname9,1234567898,10/16/20,06:34 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13093598,B,firstname10,lastname10,1234567899,10/16/20,06:34 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9279539,B,firstname11,lastname11,1234567900,10/16/20,06:33 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9031049,B,firstname12,lastname12,1234567901,10/16/20,06:34 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9216608,B,firstname13,lastname13,1234567902,10/16/20,06:34 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9081918,B,firstname14,lastname14,1234567903,10/16/20,06:34 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13213562,B,firstname15,lastname15,1234567904,10/16/20,06:35 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8676415,B,firstname16,lastname16,1234567905,10/16/20,06:35 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9109313,B,firstname17,lastname17,1234567906,10/16/20,06:35 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13221732,B,firstname18,lastname18,1234567907,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8825673,B,firstname19,lastname19,1234567908,10/16/20,06:35 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9755435,B,firstname20,lastname20,1234567909,10/16/20,06:35 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9634342,B,firstname21,lastname21,1234567910,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13426902,B,firstname22,lastname22,1234567911,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8851662,B,firstname23,lastname23,1234567912,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9831660,B,firstname24,lastname24,1234567913,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12939044,B,firstname25,lastname25,1234567914,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8635742,B,firstname26,lastname26,1234567915,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12915848,B,firstname27,lastname27,1234567916,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,6599303,B,firstname28,lastname28,1234567917,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8520685,B,firstname29,lastname29,1234567918,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9637376,B,firstname30,lastname30,1234567919,10/16/20,06:36 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12815335,B,firstname31,lastname31,1234567920,10/16/20,06:37 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,5687535,B,firstname32,lastname32,1234567921,10/16/20,06:37 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12865322,B,firstname33,lastname33,1234567922,10/16/20,06:37 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12987855,B,firstname34,lastname34,1234567923,10/16/20,06:38 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8943837,B,firstname35,lastname35,1234567924,10/16/20,06:38 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9892695,B,firstname36,lastname36,1234567925,10/16/20,06:39 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8998510,B,firstname37,lastname37,1234567926,10/16/20,06:39 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9226671,B,firstname38,lastname38,1234567927,10/16/20,06:40 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9888707,B,firstname39,lastname39,1234567928,10/16/20,06:40 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8743584,B,firstname40,lastname40,1234567929,10/16/20,06:01 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9520505,B,firstname41,lastname41,1234567930,10/16/20,06:44 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12656094,B,firstname42,lastname42,1234567931,10/16/20,06:45 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8617791,B,firstname43,lastname43,1234567932,10/16/20,06:44 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,1465259,B,firstname44,lastname44,1234567933,10/16/20,06:44 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13948732,B,firstname45,lastname45,1234567934,10/16/20,06:02 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12964997,B,firstname46,lastname46,1234567935,10/16/20,06:03 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,5880285,B,firstname47,lastname47,1234567936,10/16/20,06:45 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9212371,B,firstname48,lastname48,1234567937,10/16/20,06:46 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9685712,B,firstname49,lastname49,1234567938,10/16/20,06:45 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9151554,B,firstname50,lastname50,1234567939,10/16/20,06:46 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,7313764,B,firstname51,lastname51,1234567940,10/16/20,06:47 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12761135,B,firstname52,lastname52,1234567941,10/16/20,06:47 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9129293,B,firstname53,lastname53,1234567942,10/16/20,06:47 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9489887,B,firstname54,lastname54,1234567943,10/16/20,06:47 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9190059,B,firstname55,lastname55,1234567944,10/16/20,06:47 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13487299,B,firstname56,lastname56,1234567945,10/16/20,06:48 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9413082,B,firstname57,lastname57,1234567946,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,14020004,B,firstname58,lastname58,1234567947,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8907709,B,firstname59,lastname59,1234567948,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,7209633,B,firstname60,lastname60,1234567949,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8856901,B,firstname61,lastname61,1234567950,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9608926,B,firstname62,lastname62,1234567951,10/16/20,06:05 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13553035,B,firstname63,lastname63,1234567952,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9870508,B,firstname64,lastname64,1234567953,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,7498796,B,firstname65,lastname65,1234567954,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12691973,B,firstname66,lastname66,1234567955,10/16/20,06:05 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,6947733,B,firstname67,lastname67,1234567956,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8934581,B,firstname68,lastname68,1234567957,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,4015058,B,firstname69,lastname69,1234567958,10/16/20,06:06 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12838337,B,firstname70,lastname70,1234567959,10/16/20,06:49 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8648670,B,firstname71,lastname71,1234567960,10/16/20,06:50 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9546589,B,firstname72,lastname72,1234567961,10/16/20,06:50 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8548725,B,firstname73,lastname73,1234567962,10/16/20,06:50 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9650605,B,firstname74,lastname74,1234567963,10/16/20,06:51 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,9221685,B,firstname75,lastname75,1234567964,10/16/20,06:51 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8493071,B,firstname76,lastname76,1234567965,10/16/20,06:50 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,7182785,B,firstname77,lastname77,1234567966,10/16/20,06:07 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,12879427,B,firstname78,lastname78,1234567967,10/16/20,06:51 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,6714768,B,firstname79,lastname79,1234567968,10/16/20,06:51 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8592300,B,firstname80,lastname80,1234567969,10/16/20,06:50 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,13468967,B,firstname81,lastname81,1234567970,10/16/20,06:51 PM EST,,,,,,,,,,,,,,,,,,,,,,
wisconsin,8096055,B,firstname82,lastname82,1234567971,10/16/20,06:51 PM EST,,,,,,,,,,,,,,,,,,,,,,
